名称,author,desc,commit,score
熔炉,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011 / 韩国 / 剧情,858533人评价,9.3
控方证人,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,1957 / 美国 / 剧情 犯罪 悬疑,467123人评价,9.6
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,1972 / 美国 / 剧情 犯罪,875462人评价,9.3
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,2006 / 美国 / 剧情 传记 家庭,1399172人评价,9.2
触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,2011 / 法国 / 剧情 喜剧,982145人评价,9.3
肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,1994 / 美国 / 犯罪 剧情,2634739人评价,9.7
霸王别姬,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993 / 中国大陆 中国香港 / 剧情 爱情 同性,1956922人评价,9.6
盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,1897684人评价,9.4
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,1994 / 美国 / 剧情 爱情,1980626人评价,9.5
千与千寻,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001 / 日本 / 剧情 动画 奇幻,2056976人评价,9.4
泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,1997 / 美国 墨西哥 澳大利亚 加拿大 / 剧情 爱情 灾难,1941047人评价,9.4
辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,1993 / 美国 / 剧情 历史 战争,1015615人评价,9.6
这个杀手不太冷,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994 / 法国 美国 / 剧情 动作 犯罪,2130912人评价,9.4
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,2014 / 美国 英国 加拿大 / 剧情 科幻 冒险,1590813人评价,9.4
忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,2009 / 美国 英国 / 剧情,1297737人评价,9.4
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,2009 / 印度 / 剧情 喜剧 爱情 歌舞,1721197人评价,9.2
怦然心动,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010 / 美国 / 剧情 喜剧 爱情,1678445人评价,9.1
饮食男女,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994 / 中国台湾 美国 / 剧情 家庭,558140人评价,9.2
美丽心灵,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,2001 / 美国 / 传记 剧情,704683人评价,9.1
罗马假日,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953 / 美国 / 喜剧 剧情 爱情,881523人评价,9.1
辩护人,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013 / 韩国 / 剧情,545573人评价,9.2
窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,2006 / 德国 / 剧情 悬疑,516542人评价,9.2
情书,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995 / 日本 / 剧情 爱情,987991人评价,8.9
狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,1994 / 美国 / 动画 冒险 歌舞,762934人评价,9.1
黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,1999 / 美国 / 动作 科幻,770577人评价,9.1
本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,2008 / 美国 / 剧情 爱情 奇幻,904634人评价,9.0
拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,1998 / 美国 / 剧情 战争,593542人评价,9.1
西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,2000 / 意大利 美国 / 剧情 战争 情色,895223人评价,8.9
飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,1975 / 美国 / 剧情,510971人评价,9.1
小鞋子,导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...,1997 / 伊朗 / 剧情 儿童 家庭,373720人评价,9.2
穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...,2008 / 英国 美国 / 剧情 战争,500583人评价,9.2
音乐之声,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...,1965 / 美国 / 剧情 传记 爱情 歌舞,549224人评价,9.1
死亡诗社,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,1989 / 美国 / 剧情,646003人评价,9.1
搏击俱乐部,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,1999 / 美国 德国 意大利 / 剧情 动作 悬疑 惊悚,778746人评价,9.0
教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,1974 / 美国 / 剧情 犯罪,496251人评价,9.2
两杆大烟枪,导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,1998 / 英国 / 剧情 喜剧 犯罪,550363人评价,9.1
绿皮书,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...,2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐,1475189人评价,8.9
海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...,2015 / 德国 瑞士 / 剧情 冒险 家庭,499446人评价,9.3
指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,773678人评价,9.1
大闹天宫,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装,389056人评价,9.4
看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,1142213人评价,8.8
阿凡达,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...,2009 / 美国 / 动作 科幻 冒险,1272245人评价,8.8
告白,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...,2010 / 日本 / 剧情 悬疑,627401人评价,8.8
幸福终点站,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,2004 / 美国 / 喜剧 剧情 爱情,514747人评价,8.8
怪兽电力公司,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...,2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险,606479人评价,8.8
寄生虫,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019 / 韩国 / 剧情,1256182人评价,8.8
神偷奶爸,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...,2010 / 美国 法国 / 喜剧 动画 冒险,874339人评价,8.6
釜山行,导演: 延尚昊 Sang-ho Yeon   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016 / 韩国 / 动作 惊悚 灾难,1091723人评价,8.6
阳光姐妹淘,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011 / 韩国 / 剧情 喜剧,557351人评价,8.8
一个叫欧维的男人决定去死,导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...,2015 / 瑞典 / 剧情,414356人评价,8.9
被解救的姜戈,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...,2012 / 美国 / 剧情 动作 西部 冒险,555910人评价,8.8
